Frequency (Hz)	Level (dB)
43.066406	-47.109070
86.132812	-46.566853
129.199219	-46.020348
172.265625	-45.998497
215.332031	-47.990879
258.398438	-49.797043
301.464844	-46.806606
344.531250	-36.318954
387.597656	-30.967684
430.664062	-32.114162
473.730469	-39.905495
516.796875	-51.450180
559.863281	-55.644661
602.929688	-59.024529
645.996094	-61.080231
689.062500	-62.545780
732.128906	-62.459469
775.195312	-60.930607
818.261719	-60.599796
861.328125	-61.739815
904.394531	-62.436100
947.460938	-62.983280
990.527344	-64.352562
1033.593750	-50.949566
1076.660156	-33.027771
1119.726562	-24.125425
1162.792969	-22.120165
1205.859375	-26.610121
1248.925781	-38.522224
1291.992188	-59.450676
1335.058594	-64.882996
1378.125000	-65.943741
1421.191406	-66.415260
1464.257812	-67.365746
1507.324219	-67.654373
1550.390625	-67.200829
1593.457031	-67.946854
1636.523438	-69.809387
1679.589844	-70.115067
1722.656250	-68.717857
1765.722656	-67.552811
1808.789062	-68.825905
1851.855469	-70.574593
1894.921875	-71.429649
1937.988281	-71.339409
1981.054688	-70.830467
2024.121094	-69.454132
2067.187500	-48.128147
2110.253906	-34.360554
2153.320312	-28.650473
2196.386719	-29.668537
2239.453125	-37.621655
2282.519531	-53.356728
2325.585938	-57.196598
2368.652344	-60.701572
2411.718750	-67.522751
2454.785156	-70.478424
2497.851562	-70.992790
2540.917969	-69.730865
2583.984375	-70.118248
2627.050781	-71.208099
2670.117188	-70.290283
2713.183594	-67.929131
2756.250000	-66.868996
2799.316406	-66.305550
2842.382812	-66.312019
2885.449219	-66.188210
2928.515625	-63.595650
2971.582031	-63.097645
3014.648438	-65.769615
3057.714844	-66.563004
3100.781250	-67.238556
3143.847656	-68.669022
3186.914062	-69.484558
3229.980469	-67.955559
3273.046875	-61.076469
3316.113281	-50.195835
3359.179688	-45.208797
3402.246094	-46.522987
3445.312500	-54.198471
3488.378906	-67.779907
3531.445312	-72.445129
3574.511719	-71.041832
3617.578125	-70.007172
3660.644531	-70.194633
3703.710938	-70.525581
3746.777344	-69.342781
3789.843750	-68.355110
3832.910156	-68.707031
3875.976562	-69.736748
3919.042969	-70.852661
3962.109375	-71.036163
4005.175781	-70.809593
4048.242188	-69.640350
4091.308594	-68.652718
4134.375000	-67.227318
4177.441406	-65.038605
4220.507812	-64.306221
4263.574219	-65.578300
4306.640625	-65.870422
4349.707031	-64.551422
4392.773438	-63.841492
4435.839844	-65.589836
4478.906250	-68.198311
4521.972656	-69.047554
4565.039062	-69.913841
4608.105469	-71.715584
4651.171875	-72.779312
4694.238281	-73.002213
4737.304688	-71.509636
4780.371094	-70.223206
4823.437500	-70.819283
4866.503906	-71.453743
4909.570312	-71.303558
4952.636719	-70.669662
4995.703125	-70.501595
5038.769531	-70.326111
5081.835938	-69.923607
5124.902344	-69.877029
5167.968750	-69.859024
5211.035156	-69.734428
5254.101562	-69.603722
5297.167969	-69.212906
5340.234375	-68.443672
5383.300781	-68.591522
5426.367188	-69.577118
5469.433594	-69.857986
5512.500000	-70.267967
5555.566406	-70.429581
5598.632812	-70.234421
5641.699219	-70.796661
5684.765625	-71.184013
5727.832031	-70.745796
5770.898438	-69.932236
5813.964844	-70.403488
5857.031250	-71.426834
5900.097656	-72.218094
5943.164062	-72.596649
5986.230469	-73.180054
6029.296875	-73.313560
6072.363281	-72.280197
6115.429688	-71.503357
6158.496094	-70.950203
6201.562500	-71.287651
6244.628906	-72.133621
6287.695312	-72.644829
6330.761719	-73.522469
6373.828125	-73.858322
6416.894531	-75.303276
6459.960938	-76.008247
6503.027344	-75.498734
6546.093750	-74.749985
6589.160156	-73.960617
6632.226562	-73.579903
6675.292969	-73.723282
6718.359375	-73.738991
6761.425781	-72.246361
6804.492188	-71.235985
6847.558594	-71.668365
6890.625000	-72.126755
6933.691406	-73.163940
6976.757812	-73.015007
7019.824219	-72.174210
7062.890625	-71.678055
7105.957031	-72.149536
7149.023438	-73.219940
7192.089844	-74.461388
7235.156250	-75.325043
7278.222656	-72.829056
7321.289062	-69.751030
7364.355469	-69.690750
7407.421875	-72.814720
7450.488281	-74.189835
7493.554688	-74.328247
7536.621094	-73.149918
7579.687500	-72.031456
7622.753906	-72.521370
7665.820312	-73.336838
7708.886719	-72.219635
